Latitude (deg),Longitude (deg),Range(km)
12.8342,79.7036,40
11.9401,79.4861,40
10.9617,79.3881,40
9.8433,78.4809,40
9.581,77.9624,40
8.1774,77.4343,40
10.2381,77.4892,40
11.4102,76.695,40
11.2189,78.1674,40
12.2253,79.0747,40
