Latitude (deg),Longitude (deg),Range(km)
31.0430814506,74.7594581034,50
28.6475246443,75.5656794338,25
30.8697956222,75.1813649267,25
31.3406527834,75.3850053727,25
29.6728435078,74.1886732758,25
29.5754130391,74.2872845,25
29.548626961,75.0295809823,25
30.2178778046,74.9464470769,25
30.0854575997,74.7091371261,25
30.299609936,74.7978174381,25
