Latitude (deg),Longitude (deg),Range(km)
30.26613998,74.76120758,25
28.64468575,75.55973816,25
30.86936188,75.18031311,25
31.34081841,75.38569641,25
29.67730904,74.18708038,25
29.57533073,74.28624725,25
29.61496353,74.91590881,25
30.25376701,74.88352966,25
30.25642586,74.77423096,25
30.26696587,74.76020813,25
